terminated,mgrChurn,gender,minority,flsaType,seniority,age
0,1,1,1,0,6.99,54.9
0,1,0,1,0,2.37,58.5
0,1,0,1,0,9.18,47.6
0,1,0,1,0,0.49,57.2
0,0,1,1,0,2.97,37.6
0,0,1,1,0,11.84,61.3
0,0,1,1,0,5.48,32.4
0,1,1,1,0,5.49,35.3
0,0,1,1,0,5.90,28.8
0,1,1,1,0,2.35,32.6
0,0,1,1,0,0.30,58.9
0,0,1,1,0,1.42,42.2
0,0,1,1,0,3.31,33.8
0,0,1,1,0,5.27,32.5
0,0,1,1,0,2.26,30.9
0,0,1,1,0,2.26,43.6
0,0,1,1,0,2.45,42.3
0,0,1,1,0,8.66,58.9
0,0,1,1,0,0.42,56.1
0,0,1,1,0,7.84,61.3
0,0,1,1,0,1.49,42.7
0,0,1,1,0,0.04,26.4
0,1,1,1,0,1.17,40.2
0,1,1,1,0,0.17,40.0
0,1,1,1,0,0.21,40.1
0,0,1,1,0,19.27,56.3
0,0,1,1,0,4.12,31.5
0,0,1,1,0,2.33,39.9
0,0,1,1,0,0.97,36.2
0,1,1,1,0,0.27,38.5
0,1,1,1,0,0.30,38.3
0,0,1,1,0,2.68,42.6
0,1,1,1,0,0.34,36.6
0,0,1,1,0,0.11,33.2
0,0,1,1,0,3.33,49.2
0,0,1,1,0,2.89,40.1
0,1,1,1,0,3.22,45.8
0,0,1,1,0,0.21,54.8
0,1,1,1,0,7.01,33.3
0,0,1,1,0,2.53,48.3
0,1,1,1,0,18.03,51.7
0,0,1,1,0,0.09,27.1
0,0,1,1,0,3.64,33.0
0,1,1,1,0,2.17,41.3
0,0,1,1,0,0.82,46.6
0,0,1,1,0,1.51,29.9
1,0,1,1,0,2.88,41.2
1,1,1,1,0,5.34,50.2
1,0,1,1,0,6.43,45.7
1,0,1,1,0,1.15,31.1
1,0,1,1,0,0.09,40.4
1,1,1,1,0,0.30,47.6
1,1,1,1,0,2.85,30.0
0,0,0,1,0,3.84,49.2
0,0,0,1,0,4.10,56.6
0,1,0,1,0,3.46,29.4
0,0,0,1,0,0.57,40.5
0,0,0,1,0,7.75,44.0
0,1,0,1,0,7.22,49.6
0,1,0,1,0,2.20,26.9
0,0,0,1,0,1.47,29.4
0,1,0,1,0,3.81,40.8
0,0,0,1,0,1.45,36.2
0,0,0,1,0,2.99,40.6
0,0,0,1,0,0.36,44.1
0,0,0,1,0,0.36,43.0
0,0,0,1,0,3.33,51.0
0,0,0,1,0,0.34,50.5
0,0,0,1,0,2.09,41.4
0,0,0,1,0,3.10,48.2
0,0,0,1,0,2.74,49.5
0,0,0,1,0,3.50,47.2
