Job Title,Tell Us Why You Left?
"Processor,LossMitIntk,II","For health and personal ressons, I no longer felt comfortable in my department. Most uncomfortable situation was the day I was publicly mocked for being in pain during pregnancy and compared to a ""complaining rape victim"". Once I get the clear to return to work, this is not an environment I'd feel comfortable returning to. "
"Manager,DefaultInvoice",Better work/life balance.  
"Loan Counselor,Srvng,I","Carrington, while the pay was excellent, the stability was horrible, I have never worked for a company that will tell you one thing then turn around the following month and say another. Not only that leadership there shouldn’t be people who judge others, and very bais; in the Two years I was there I heard nothing but negitative from ALL supervisors (except Crispen NyKa)and some employees. Which is not a good look for Carrington. Overall the management at Carrington are non- professional and need to be evaluated. This job was starting to play a role in my health which was the main reason had to make a decision to depart from Carrington. "
"Specialist,Bankruptcy,II","There were multiple factors that contributed to my deciding to leave Carrington however the main reasons were; Stressful work environment, lack of opportunity for growth and a lack of leadership from both upper and lower management.  /  / Stressful work environment-The work itself is not hard at all however during my time at Carrington (less than a year by about a week) I had become the Sr. Rep on the MFR team due to the high turnover rate. Although I was there for less than a year there was a backlog that had been around for about three years. Of course there was a push from both upper and lower management to work through the backlog however when the VP of Bankruptcy comes on the floor and says to the manager “if the can’t start producing then we need to start firing people.” it creates and unnecessary sense of panic amongst the employees. Granted I didn’t personally hear the VP say these words but I did receive confirmation from the Bk manager via text that those words were indeed said.  /  / Lack of opportunity for growth - I was at CMS for a little under a year however within my first month I knew I should have been hired as a Senior BK rep considering how much knowledge I had and how well I was able to work through the MFR process. i reached out to management MULTIPLE times inquiring about what needed to be done to move up but was given no direction and my requests were met with laughter however when I decided to slow my productivity down to ensure I wasn’t making any errors the idea was brought back up to me several times as a way to entice me into producing more but was never an opportunity for me.  /  / Lack of leadership - There were no valid avenues for communication with the BK manager if you weren’t producing the way they wanted you to. We would offer suggestions regarding high monthly expectation etc and be met with push back etc.  /  / All in all those three reasons were apart of my decision to leave CMS but the final nail in the coffin came when my then manager Karin Murphy decided that since I wouldn’t increase my production and risk making errors she would try to get me fired for attendance issues. A little background, Karin states on multiple occasions that as long as we were producing she wasn’t focused on attendance issues and as a result of my high productivity I’m assuming she over looked my coming into work late for my tenure with the company up until my last month that i. I went from zero disciplinary actions in a year to 3 within a month after bringing this up to hr one of the actions was reversed only to be reapplied within 1 business day. After informing the BK manager that I didn’t believe the course of action was fair or legal for that matter and would be seeking advice beyond CMS i was let go the same day I turned in my 2 weeks notice, of course I was paid through my end date. What’s puzzling is that my manager and I text one another frequently about work and non work related things and she mentioned my production needed improvement once or twice but never mentioned my attendance but that’s what she wanted to fire me for. Overall my experience at Carrington was subpar at best and I strongly believe that until there is a change in management in the BK Department there will continue to be a high turnover rate.  /  / I would also like to say that Mac Mitchell was by far the best part of the management team; he listened, followed up and acted when he saw fit. It’s unfortunate he became my supervisor so late in the process. I definitely believe there would have been a different outcome for me if I was on his team sooner."
"AE, Wholesale","Anything I say will sound like an excuse so in my opinion I am grateful Carrington gave me the opportunity worked for them.  I am better off for the experience.  Thank you, sincerely,  Robin"
"Spec,DefaultMIClaimsI","Rules were made up and leadership kept changing. My annual reviews were not taking place, there were meetings to discuss wage increases but when asked it was ignored. I’ve had 4 supervisors and 2 managers in a years time. The director Charles Trefry of the servicing department created a very hostile work environment. I was told many things about the attendance policy and those things were made up because I asked for such policy and management told me that they do not allow associates to see or have copies of the policy. How can you write someone up for a policy and not be able to show that person what you’re referring to? The turnover rate is ridiculous and it’s ridiculous all the way down to how many times my office seat has been moved during my time. HR is no help and doesn’t know what they are talking about or doing either. There are no tenured people within carrington. There is also no 401k match and carrington nickel and dimes you even for gift cards. Carrington is far from the general public that works there. Driving through cornfields daily shows that they want everything to be cheap."
"Supervisor,Bankruptcy","The VP of my department was challenging to work for. He seemed to lead by intimidation, demeaning people on the floor, and consistently threatening taking written or final action if errors were not alleviated. Understanding errors need to be addressed and resolved however there did not seem to be an allowance for human one-off errors. Comments were made on the floor by the VP about specific staff members who are lazy and do not pay attention to their work. It was a very negative environment where people were afraid to mess up. "
"Loan Officer, Retail Ctr","Because we moved to Colorado.  I actually did not want to quit the company however, there are no opportunities available with Carrington."
"Specialist,CS,Sr.","Lack of recognition and reward for good work, I.e. annual raises, promotions. Also, lack of transparency between departments and management. "
"Spec, Home, Vylla",I felt that my role was going to deliver best in class quality and service.  While in training my responsibilities changed to a yet-to-be-determined role.  I was told I would have options that were still in need of being defined.  The delivery of this change was less than quality.  It mocked those that may be impacted and it was short of quality management.  You cannot provide best in class quality and service while managed by less what we hope to project.
