mgrRating,totalWordCount,uniqueWordCount,reviewCount
4,1422,510,5
3.67,1111,432,2
4,4381,946,20
4,532,225,2
4,5214,1090,8
3.33,2203,597,5
3.83,1628,671,2
3.83,653,320,2
4.17,4218,979,5
3,1274,431,5
3.17,2210,476,7
4,2317,534,10
4.17,3015,863,7
3.33,2007,724,6
4.5,457,237,1
4,1965,547,8
3.17,1866,527,7
4.33,2330,607,7
3.33,466,230,2
4,762,333,2
4.5,261,156,1
4.33,2235,708,7
4.17,1455,472,4
3.5,1828,529,4
3.67,2800,694,7
4.17,952,413,3
4,154,103,1
3.17,2087,463,7
3.83,4089,873,18
4,1087,440,2
3.5,1762,541,3
4.17,1519,465,4
4.17,1522,606,5
4.17,1639,534,7
4.17,2226,395,9
4.17,2208,495,9
4.17,1406,449,4
3.17,2631,697,14
3.33,330,167,1
4,1705,490,4
3.67,1181,439,5
3.83,513,216,1
4,2527,651,16
4,981,443,3
4.17,411,185,3
3.5,3562,630,14
3.5,477,235,3
3.83,2760,812,7
4.17,1541,549,2
3.67,5688,910,12
3.33,1838,458,6
4.5,1697,525,7
4,2089,548,6
4.17,830,335,3
3.67,1184,464,4
3.17,739,180,11
3.83,1262,431,3
4.67,3433,946,7
3.67,1408,331,8
3,1119,377,4
4.17,1169,379,8
3,970,404,2
4,7072,1138,10
4.17,2796,843,7
4,1019,301,3
4,993,371,4
4.5,2448,739,10
3.5,4493,988,17
2.83,2447,646,7
3.33,1577,568,7
4.67,3599,873,4
4,2167,714,4
4.33,823,367,2
3.17,1216,360,7
3.33,5105,874,16
4.33,4667,942,13
3.33,2868,771,8
3.67,736,298,3
4.67,413,218,1
3.33,1117,414,4
2.67,2244,696,7
3,4825,871,6
3.33,1332,474,3
3.5,268,149,1
3.5,489,263,2
3.5,182,106,1
3.33,2447,657,5
4.17,3028,534,10
3.67,746,244,8
3.5,168,119,1
4,3890,971,12
3.67,3028,721,20
3,669,281,1
3.67,3133,882,6
4,5671,1191,11
4.33,502,267,2
3.5,1353,472,14
3.5,1347,465,6
4.67,1775,547,5
3.83,992,383,5
2.67,1316,429,6
4.17,2605,521,9
3.33,2551,606,14
4,1242,457,2
3.5,925,354,2
3.5,749,288,2
4.33,810,329,3
4.33,2626,725,9
3.5,3104,682,10
4.17,1196,376,7
4.67,208,137,1
4.67,411,193,2
3.83,373,172,4
4.17,622,269,5
3.83,1583,473,6
3.17,527,276,2
4,3987,848,13
3.67,7415,1065,17
3.33,2473,532,8
2.5,1196,394,3
4.83,366,174,1
3.17,1045,443,6
3.67,744,282,3
4,2794,730,9
4,2993,633,12
3.83,4335,984,8
3.5,2309,616,15
3.67,860,377,3
3.67,1009,390,9
4,633,295,2
3.5,6272,1254,10
3.67,4197,1023,15
3.5,1440,497,8
3,3210,733,9
4.33,4304,703,14
4,2391,667,9
3.67,694,305,5
3.5,2965,664,10
4.33,2384,621,7
3.5,1019,405,13
4.5,1736,512,4
4.17,1697,611,6
4.17,4533,938,8
4.33,671,301,4
3.33,4621,823,13
3.17,677,289,3
3.33,3686,847,13
4,832,324,2
4.17,223,140,2
3.83,1761,562,5
3.17,470,223,3
3.67,942,359,3
4,5759,1064,12
3.83,1254,406,4
4.17,3681,955,9
4,1163,388,5
4,873,342,2
4.33,193,110,2
4,3231,756,13
4.33,939,373,1
4.17,3655,898,9
3.17,845,349,2
4,3203,716,9
3.83,670,318,6
4,1234,477,3
3,1378,468,7
3.67,673,299,2
3.83,1485,511,3
3.67,975,421,6
2.5,442,210,1
4.33,1701,481,6
4.33,1966,575,6
3.5,1412,576,3
4.33,1897,520,11
3.17,3399,806,11
4.5,4153,827,11
3.5,1275,412,7
4.17,1324,458,2
4.17,1281,505,2
4.33,4125,1063,13
4.33,2250,656,13
4,1737,532,14
4,274,157,1
3.83,185,102,1
4,615,290,2
3.17,1077,367,7
3,456,228,1
3.33,486,250,4
3.83,2897,775,8
4.33,1713,568,3
3,1361,471,6
4,306,120,2
3,273,150,1
3.67,3710,833,11
3.5,1695,544,6
3.33,982,322,7
4,2069,559,3
2.33,648,274,3
2.5,4134,819,17
3.33,1234,432,2
3.17,1875,580,12
4,296,172,2
4.5,618,293,6
4.17,6426,1138,13
3.17,3868,843,7
4.17,6658,1142,10
3.17,4346,599,12
4.33,1191,401,7
4.67,3772,914,12
4,679,288,6
3.83,597,264,2
4,1586,590,4
3.33,442,228,2
4.5,428,198,1
3.5,2878,784,8
3.33,1933,437,15
3,2682,896,6
3.67,1654,570,4
3.67,636,261,6
4.33,2626,698,5
3.67,505,221,2
4.83,1863,516,12
4.33,4631,1028,6
4.17,3140,748,2
2.33,138,88,1
3.83,1189,443,3
4.33,1029,343,3
4,1467,553,10
3.83,741,319,3
3.33,1992,606,5
3,171,108,2
3,1868,602,8
4,1233,437,2
4.17,2663,916,3
4.17,1831,618,5
3.67,2286,606,7
3,10401,1608,10
3.17,3929,921,8
5,685,313,4
4.17,696,298,5
2.33,1757,566,5
3.67,2547,613,7
2.33,1862,652,3
2,70,50,1
3.33,446,199,1
3.83,1360,470,4
4,1513,543,7
3.5,3691,862,5
3.83,333,153,3
4,844,309,3
3.33,423,210,1
2.83,1418,473,5
3.17,677,304,1
4.17,1792,555,5
4.5,668,321,3
4,459,191,1
3.5,233,115,3
3.83,836,285,3
3.83,2741,585,9
4,2598,666,6
3.67,1209,463,2
4,2120,673,5
3.33,2458,572,8
3.67,1165,425,5
